COMPOSER	COLLECTION	MOVEMENT	SCORE	URL
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.9	4 Die frühen Gräber	YES	https://musescore.com/score/4986026
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.9	5 Der Maiabend	YES	https://musescore.com/score/5103913
Hensel, Fanny (Mendelssohn)	6 Lieder, Op.9	6 Die Mainacht	YES	https://musescore.com/score/4986030
Holmès, Augusta Mary Anne	Contes divins	3 Le chemin du ciel	YES	https://musescore.com/score/5904897
Holmès, Augusta Mary Anne	Les Heures	4 L’Heure d’Azur	YES	https://musescore.com/score/5001674
Jaëll, Marie	4 Mélodies	1 À toi	YES	https://musescore.com/score/5834392
Jaëll, Marie	4 Mélodies	2 Éternel amour	YES	https://musescore.com/score/5837811
Kinkel, Johanna	6 Lieder, Op.10	1 Nachgefühl	YES	https://musescore.com/score/6177220
Kinkel, Johanna	6 Lieder, Op.15	2 Du nah’st!	YES	https://musescore.com/score/6247458
Kralik, Mathilde	Blumenlieder	1 Maiglöckchen	YES	https://musescore.com/score/6165152
Lang, Josephine	3 Lieder, Op.8	1 Schmetterling	YES	https://musescore.com/score/6088572
Lang, Josephine	6 Lieder, Op.10	6 Abschied	YES	https://musescore.com/score/6073491
Lang, Josephine	6 Lieder, Op.12	3 Abermals am See	YES	https://musescore.com/score/6061301
Lang, Josephine	6 Lieder, Op.13	3 Aus der Ferne	YES	https://musescore.com/score/6077132
Lang, Josephine	6 Lieder, Op.25	4 Lied (Immer sich rein kindlich erfreu’n)	YES	https://musescore.com/score/4920211
Lang, Josephine	6 Lieder, Op.26	1 Wiegenlied	YES	https://musescore.com/score/6117412
Mahler, Gustav	Kindertotenlieder	2 Nun seh’ ich wohl, warum so dunkle Flammen	YES	https://musescore.com/score/5051724
Mahler, Gustav	Kindertotenlieder	4 Oft denk’ ich, sie sind nur ausgegangen	YES	https://musescore.com/score/5062118
Mayer, Emilie	3 Lieder, Op.7	1 Du bist wie eine Blume	YES	https://musescore.com/score/5840527
Mayer, Emilie	3 Lieder, Op.7	2 O lass mich dein gedenken	YES	https://musescore.com/score/5840434
Mayer, Emilie	3 Lieder, Op.7	3 Wenn der Abendstern die Rosen	YES	https://musescore.com/score/5841419
Paradis, Maria Theresia von	12 Lieder, 1786	05 Die Tanne (Sieh Doris, wie vom Mond bestrahlt )	YES	https://musescore.com/score/5907870
Reichardt, Louise	Sechs Lieder von Novalis, Op.4	5 Noch ein Bergmannslied	YES	https://musescore.com/score/5092612
Reichardt, Louise	Sechs Lieder von Novalis, Op.4	6 Er besucht den Klostergarten und den Kirchoff, über den letztern findet sich folgendes Gedicht	YES	https://musescore.com/score/5002078
Reichardt, Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	01 Frühlingslied	YES	https://musescore.com/score/5067312
Reichardt, Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	02 Wenn ich ihn nur habe	YES	https://musescore.com/score/5100067
Reichardt, Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	03 Durch die bunten Rosenhecken	YES	https://musescore.com/score/5002087
Reichardt, Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	10 Ida (aus Ariels Offenbarungen)	YES	https://musescore.com/score/5002108
Reichardt, Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	12 Heymdal (aus Ariels Offenbarungen)	YES	https://musescore.com/score/5101826
Reichardt, Louise	Zwölf Gesänge	01 Erinnrung zum Bach	YES	https://musescore.com/score/5087917
Reichardt, Louise	Zwölf Gesänge	02 Der Sänger geht	YES	https://musescore.com/score/5002130
Reichardt, Louise	Zwölf Gesänge	03 Nach Sevilla	YES	https://musescore.com/score/5046249
Reichardt, Louise	Zwölf Gesänge	04 Vaters Klage	YES	https://musescore.com/score/5001870
Reichardt, Louise	Zwölf Gesänge	05 Für die Laute componirt	YES	https://musescore.com/score/5001880
Reichardt, Louise	Zwölf Gesänge	06 Unruhiger Schlaf	YES	https://musescore.com/score/5001911
Reichardt, Louise	Zwölf Gesänge	07 Volkslied	YES	https://musescore.com/score/5001925
Reichardt, Louise	Zwölf Gesänge	08 Ein recht Gemüth	YES	https://musescore.com/score/5001930
Reichardt, Louise	Zwölf Gesänge	09 Der Spinnerin Nachtlied	YES	https://musescore.com/score/5001937
Reichardt, Louise	Zwölf Gesänge	10 Die Veilchen	YES	https://musescore.com/score/5087944
Reichardt, Louise	Zwölf Gesänge	11 Daphne am Bach	YES	https://musescore.com/score/5087973
Reichardt, Louise	Zwölf Gesänge, Op.3	01 Frühlingsblumen	YES	https://musescore.com/score/5001965
Reichardt, Louise	Zwölf Gesänge, Op.3	02 Der traurige Wanderer	YES	https://musescore.com/score/5061310
Reichardt, Louise	Zwölf Gesänge, Op.3	03 Die Blume der Blumen	YES	https://musescore.com/score/5001980
Reichardt, Louise	Zwölf Gesänge, Op.3	04 Wachtelwacht	YES	https://musescore.com/score/5001994
Reichardt, Louise	Zwölf Gesänge, Op.3	05 Betteley der Vögel	YES	https://musescore.com/score/5001997
Reichardt, Louise	Zwölf Gesänge, Op.3	06 Kriegslied des Mays	YES	https://musescore.com/score/5002006
Reichardt, Louise	Zwölf Gesänge, Op.3	07 Die Wiese	YES	https://musescore.com/score/5046362
Reichardt, Louise	Zwölf Gesänge, Op.3	08 Kaeuzlein	YES	https://musescore.com/score/5002015
Reichardt, Louise	Zwölf Gesänge, Op.3	09 Hier liegt ein Spielmann begraben	YES	https://musescore.com/score/5002019
Reichardt, Louise	Zwölf Gesänge, Op.3	10 Der Mond	YES	https://musescore.com/score/5061932
Reichardt, Louise	Zwölf Gesänge, Op.3	11 An Maria (aus Novalis geistlichen Liedern)	YES	https://musescore.com/score/5002026
Reichardt, Louise	Zwölf Gesänge, Op.3	12 Duettino	YES	https://musescore.com/score/5062143
Schubert, Franz	4 Lieder, Op.96	1 Die Sterne, D.939	YES	https://musescore.com/score/6485233
Schubert, Franz	Die schöne Müllerin, D.795	01 Das Wandern	YES	https://musescore.com/score/5004731
Schubert, Franz	Die schöne Müllerin, D.795	02 Wohin	YES	https://musescore.com/score/4982535
Schubert, Franz	Die schöne Müllerin, D.795	12 Pause	YES	https://musescore.com/score/4985946
Schubert, Franz	Die schöne Müllerin, D.795	18 Trockne Blumen	YES	https://musescore.com/score/4985949
Schubert, Franz	Op.52	6 Ellens Gesang III, D.839 (Ave Maria)	YES	https://musescore.com/score/6389103
Schubert, Franz	Op.59	3 Du bist die Ruh	YES	https://musescore.com/score/4919879
Schubert, Franz	Schwanengesang, D.957	01 Liebesbotschaft	YES	https://musescore.com/score/5077744
Schubert, Franz	Schwanengesang, D.957	02 Kriegers Ahnung	YES	https://musescore.com/score/4986000
Schubert, Franz	Schwanengesang, D.957	03 Frühlingssehnsucht	YES	https://musescore.com/score/4985999
Schubert, Franz	Schwanengesang, D.957	04 Ständchen	YES	https://musescore.com/score/5004835
Schubert, Franz	Schwanengesang, D.957	05 Aufenthalt	YES	https://musescore.com/score/4985990
Schubert, Franz	Schwanengesang, D.957	06 In der Ferne	YES	https://musescore.com/score/4985987
Schubert, Franz	Schwanengesang, D.957	07 Abschied	YES	https://musescore.com/score/4978506
Schubert, Franz	Schwanengesang, D.957	08 Der Atlas	YES	https://musescore.com/score/4985985
Schubert, Franz	Schwanengesang, D.957	09 Ihr Bild	YES	https://musescore.com/score/4985984
Schubert, Franz	Schwanengesang, D.957	10 Das Fischermädchen	YES	https://musescore.com/score/5098612
Schubert, Franz	Schwanengesang, D.957	11 Die Stadt	YES	https://musescore.com/score/4985973
Schubert, Franz	Schwanengesang, D.957	12 Am Meer	YES	https://musescore.com/score/4985965
Schubert, Franz	Schwanengesang, D.957	13 Der Doppelgänger	YES	https://musescore.com/score/4985964
Schubert, Franz	Schwanengesang, D.957	14 Die Taubenpost	YES	https://musescore.com/score/4985962
Schubert, Franz	Winterreise, D.911	01 Gute Nacht	YES	https://musescore.com/score/5015378
Schubert, Franz	Winterreise, D.911	02 Die Wetterfahne	YES	https://musescore.com/score/5015435
Schubert, Franz	Winterreise, D.911	03 Gefror’ne Thränen	YES	https://musescore.com/score/5015499
Schubert, Franz	Winterreise, D.911	04 Erstarrung	YES	https://musescore.com/score/5015573
Schubert, Franz	Winterreise, D.911	05 Der Lindenbaum	YES	https://musescore.com/score/5016466
Schubert, Franz	Winterreise, D.911	06 Wasserfluth	YES	https://musescore.com/score/5016512
Schubert, Franz	Winterreise, D.911	07 Auf dem Flusse	YES	https://musescore.com/score/5015410
Schubert, Franz	Winterreise, D.911	08 Rückblick	YES	https://musescore.com/score/5015521
Schubert, Franz	Winterreise, D.911	09 Irrlicht	YES	https://musescore.com/score/5023438
Schubert, Franz	Winterreise, D.911	10 Rast (Spätere Fassung)	YES	https://musescore.com/score/5023517
Schubert, Franz	Winterreise, D.911	11 Frühlingstraum	YES	https://musescore.com/score/5023603
Schubert, Franz	Winterreise, D.911	12 Einsamkeit (Urspruengliche Fassung)	YES	https://musescore.com/score/5023662
Schubert, Franz	Winterreise, D.911	13 Die Post	YES	https://musescore.com/score/5007176
Schubert, Franz	Winterreise, D.911	14 Der greise Kopf	YES	https://musescore.com/score/5007178
Schubert, Franz	Winterreise, D.911	15 Die Kraehe	YES	https://musescore.com/score/5007179
Schubert, Franz	Winterreise, D.911	16 Letzte Hoffnung	YES	https://musescore.com/score/5007180
Schubert, Franz	Winterreise, D.911	17 Im Dorfe	YES	https://musescore.com/score/5007181
Schubert, Franz	Winterreise, D.911	18 Der stuermische Morgen	YES	https://musescore.com/score/5007182
Schubert, Franz	Winterreise, D.911	19 Täuschung	YES	https://musescore.com/score/5009833
Schubert, Franz	Winterreise, D.911	20 Der Wegweiser	YES	https://musescore.com/score/5009900
Schubert, Franz	Winterreise, D.911	21 Das Wirthshaus	YES	https://musescore.com/score/5013945
Schubert, Franz	Winterreise, D.911	22 Muth	YES	https://musescore.com/score/5013969
Schubert, Franz	Winterreise, D.911	23 Die Nebensonnen	YES	https://musescore.com/score/5014002
Schubert, Franz	Winterreise, D.911	24 Der Leiermann (Spätere Fassung)	YES	https://musescore.com/score/5014023
Schubert, Franz	 	Das Rosenband, D.280	YES	https://musescore.com/score/5946872
Schumann, Clara	6 Lieder, Op.13	1 Ich stand in dunklen Träumen	YES	https://musescore.com/score/5133602
Schumann, Clara	6 Lieder, Op.13	2 Sie liebten sich beide	YES	https://musescore.com/score/5125680
Schumann, Clara	6 Lieder, Op.13	3 Liebeszauber	YES	https://musescore.com/score/5126774
Schumann, Clara	6 Lieder, Op.13	4 Der Mond kommt still gegangen	YES	https://musescore.com/score/5126921
Schumann, Clara	6 Lieder, Op.13	6 Die stille Lotosblume	YES	https://musescore.com/score/5130634
Schumann, Clara	6 Lieder, Op.23	4 Auf einem grünen Hügel	YES	https://musescore.com/score/5142672
Schumann, Clara	Lieder, Op.12	04 Liebst du um Schönheit	YES	https://musescore.com/score/5000397
Schumann, Clara	 	Die gute Nacht	YES	https://musescore.com/score/5000388
Schumann, Robert	Dichterliebe, Op.48	01 Im wunderschönen Monat Mai	YES	https://musescore.com/score/4976777
Schumann, Robert	Dichterliebe, Op.48	02 Aus meinen Tränen sprießen	YES	https://musescore.com/score/4976769
Schumann, Robert	Dichterliebe, Op.48	03 Die Rose, die Lilie	YES	https://musescore.com/score/4976849
Schumann, Robert	Dichterliebe, Op.48	04 Wenn ich in deine Augen seh’	YES	https://musescore.com/score/4978368
Schumann, Robert	Dichterliebe, Op.48	05 Ich will meine Seele tauchen	YES	https://musescore.com/score/4978373
Schumann, Robert	Dichterliebe, Op.48	06 Im Rhein, im heiligen Strome	YES	https://musescore.com/score/4978379
Schumann, Robert	Dichterliebe, Op.48	07 Ich grolle nicht	YES	https://musescore.com/score/4978382
Schumann, Robert	Dichterliebe, Op.48	08 Und wüssten’s die Blumen	YES	https://musescore.com/score/4978387
Schumann, Robert	Dichterliebe, Op.48	09 Das ist ein Flöten und Geigen	YES	https://musescore.com/score/4978390
Schumann, Robert	Dichterliebe, Op.48	10 Hör’ ich das Liedchen klingen	YES	https://musescore.com/score/5003150
Schumann, Robert	Dichterliebe, Op.48	11 Ein Jüngling liebt ein Mädchen	YES	https://musescore.com/score/4978393
Schumann, Robert	Dichterliebe, Op.48	12 Am leuchtenden Sommermorgen	YES	https://musescore.com/score/4978395
Schumann, Robert	Dichterliebe, Op.48	13 Ich hab’ im Traum geweinet	YES	https://musescore.com/score/4978396
Schumann, Robert	Dichterliebe, Op.48	14 Allnächtlich im Traume	YES	https://musescore.com/score/4978397
Schumann, Robert	Dichterliebe, Op.48	15 Aus alten Märchen winkt es	YES	https://musescore.com/score/4978398
Schumann, Robert	Dichterliebe, Op.48	16 Die alten, bösen Lieder	YES	https://musescore.com/score/4978400
Schumann, Robert	Frauenliebe und Leben, Op.42	1 Seit ich ihn gesehen	YES	https://musescore.com/score/4978468
Schumann, Robert	Frauenliebe und Leben, Op.42	3 Ich kann’s nicht fassen	YES	https://musescore.com/score/4978485
Viardot, Pauline	6 Mélodies, VWV 1133-11371176	4 Sérénade à Rosine, VWV 1137	YES	https://musescore.com/score/5989772
White, Maude Valérie	3 Little Songs	1 When the Swallows Homeward Fly	YES	https://musescore.com/score/6202466
White, Maude Valérie	3 Little Songs	2 A Memory	YES	https://musescore.com/score/6202530
Wolf, Hugo	Eichendorff-Lieder	04 Das Ständchen	YES	https://musescore.com/score/5024834
Wolf, Hugo	Eichendorff-Lieder	08 Nachtzauber	YES	https://musescore.com/score/5039817
Wolf, Hugo	Eichendorff-Lieder	13 Der Scholar	YES	https://musescore.com/score/5052792
Wolf, Hugo	Eichendorff-Lieder	14 Der verzweifelte Liebhaber	YES	https://musescore.com/score/5052714
Wolf, Hugo	Eichendorff-Lieder	15 Unfall	YES	https://musescore.com/score/5057804
Wolf, Hugo	Eichendorff-Lieder	19 Die Nacht	YES	https://musescore.com/score/5052801
Wolf, Hugo	Eichendorff-Lieder	20 Waldmädchen	YES	https://musescore.com/score/5077482
Zumsteeg, Emilie	6 Lieder, Op.4	1 Die Kapelle	YES	https://musescore.com/score/6159729
