id,file_artists,file_title,file_path,jams_path
real-book_35,,Fighting Song For Your Team,../../partitions/real-book/raw/Fighting Song For Your Team.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_35.jams
real-book_36,,Georgia On My Mind,../../partitions/real-book/raw/Georgia On My Mind.MGU.xlab,../../partitions/real-book/choco/jams/real-book_36.jams
real-book_37,Jerome Kern,The Last Time I Saw Paris,../../partitions/real-book/raw/The Last Time I Saw Paris - Jerome Kern.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_37.jams
real-book_38,Sammy Cahn & Nicholas Brodszky,I'll Never Stop Loving You,../../partitions/real-book/raw/I'll Never Stop Loving You - Sammy Cahn & Nicholas Brodszky.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_38.jams
real-book_39,,Everything Must Change,../../partitions/real-book/raw/Everything Must Change.MGU.xlab,../../partitions/real-book/choco/jams/real-book_39.jams
real-book_40,,Centerpiece,../../partitions/real-book/raw/Centerpiece.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_40.jams
real-book_41,,Quasimodo,../../partitions/real-book/raw/Quasimodo.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_41.jams
real-book_42,,I Guess I'll Have To Change My Plan,../../partitions/real-book/raw/I Guess I'll Have To Change My Plan.MGU.xlab,../../partitions/real-book/choco/jams/real-book_42.jams
real-book_43,,Feel Like Making Love,../../partitions/real-book/raw/Feel Like Making Love.MGU.xlab,../../partitions/real-book/choco/jams/real-book_43.jams
real-book_44,,Shine On My Shoes,../../partitions/real-book/raw/Shine On My Shoes.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_44.jams
real-book_45,W,Deep River Blues,../../partitions/real-book/raw/Deep River Blues - W.C. Handy.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_45.jams
real-book_46,,A Daisy A Day,../../partitions/real-book/raw/A Daisy A Day.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_46.jams
real-book_47,,You Were Meant For Me,../../partitions/real-book/raw/You Were Meant For Me.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_47.jams
real-book_48,Tom Cochrane & Red Rider,Human Race,../../partitions/real-book/raw/Human Race - Tom Cochrane & Red Rider.MGU.xlab,../../partitions/real-book/choco/jams/real-book_48.jams
real-book_49,,Don't Be That Way,../../partitions/real-book/raw/Don't Be That Way.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_49.jams
real-book_50,,On A Clear Day,../../partitions/real-book/raw/On A Clear Day.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_50.jams
real-book_51,Zoot Sims,Zoot Swings The Blues,../../partitions/real-book/raw/Zoot Swings The Blues - Zoot Sims.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_51.jams
real-book_52,,New Moon Over My Shoulder,../../partitions/real-book/raw/New Moon Over My Shoulder.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_52.jams
real-book_53,,Tea For 2,../../partitions/real-book/raw/Tea For 2.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_53.jams
real-book_54,,Ta Mej Till Havet,../../partitions/real-book/raw/Ta Mej Till Havet.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_54.jams
real-book_55,Collins & Leigh,Don't Dilly Dally On The Way,../../partitions/real-book/raw/Don't Dilly Dally On The Way - Collins & Leigh.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_55.jams
real-book_56,,Old Torn Petticoat,../../partitions/real-book/raw/Old Torn Petticoat.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_56.jams
real-book_57,Charles Mingus,Reincarnation Of A Lovebird,../../partitions/real-book/raw/Reincarnation Of A Lovebird - Charles Mingus.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_57.jams
real-book_58,,Humoresque Boogie,../../partitions/real-book/raw/Humoresque Boogie.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_58.jams
real-book_59,,Rights Of Man,../../partitions/real-book/raw/Rights Of Man.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_59.jams
real-book_60,,Blues For Dr,../../partitions/real-book/raw/Blues For Dr. John - Miles Black.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_60.jams
real-book_61,,"I Love You, Samantha","../../partitions/real-book/raw/I Love You, Samantha.MGU.xlab",../../partitions/real-book/choco/jams/real-book_61.jams
real-book_62,,Citadel Waltz,../../partitions/real-book/raw/Citadel Waltz.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_62.jams
real-book_63,,My Old Pat,../../partitions/real-book/raw/My Old Pat.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_63.jams
real-book_64,,At A Georgia Camp Meeting,../../partitions/real-book/raw/At A Georgia Camp Meeting.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_64.jams
real-book_65,,It Had To Be You,../../partitions/real-book/raw/It Had To Be You.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_65.jams
real-book_66,,Squeaky Bump,../../partitions/real-book/raw/Squeaky Bump.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_66.jams
real-book_67,W,Atlanta Blues,../../partitions/real-book/raw/Atlanta Blues - W.C. Handy.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_67.jams
real-book_68,,Day By Day,../../partitions/real-book/raw/Day By Day.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_68.jams
real-book_69,,Until The Real Thing Comes Along,../../partitions/real-book/raw/Until The Real Thing Comes Along.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_69.jams
real-book_70,,Shining Star,../../partitions/real-book/raw/Shining Star.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_70.jams
real-book_71,,Aragon Mill,../../partitions/real-book/raw/Aragon Mill.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_71.jams
real-book_72,,At Last I've Found You,../../partitions/real-book/raw/At Last I've Found You.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_72.jams
real-book_73,,This Is All I Ask,../../partitions/real-book/raw/This Is All I Ask.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_73.jams
real-book_74,,The More The Merrier,../../partitions/real-book/raw/The More The Merrier.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_74.jams
real-book_75,,I Don't Want To Know,../../partitions/real-book/raw/I Don't Want To Know.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_75.jams
real-book_76,,I'm Confessin' That I Love You,../../partitions/real-book/raw/I'm Confessin' That I Love You.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_76.jams
real-book_77,,Floundering,../../partitions/real-book/raw/Floundering.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_77.jams
real-book_78,,Baby Elephant Walk,../../partitions/real-book/raw/Baby Elephant Walk.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_78.jams
real-book_79,,Swingin' The Blues,../../partitions/real-book/raw/Swingin' The Blues.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_79.jams
real-book_80,,Dialog,../../partitions/real-book/raw/Dialog.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_80.jams
real-book_81,,Muscrat Ramble,../../partitions/real-book/raw/Muscrat Ramble.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_81.jams
real-book_82,,Slipping Away,../../partitions/real-book/raw/Slipping Away.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_82.jams
real-book_83,,Dinah,../../partitions/real-book/raw/Dinah.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_83.jams
real-book_84,,Songs,../../partitions/real-book/raw/Songs.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_84.jams
real-book_85,,A Million To 1,../../partitions/real-book/raw/A Million To 1.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_85.jams
real-book_86,,I've Grown Accustomed To Her Face,../../partitions/real-book/raw/I've Grown Accustomed To Her Face.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_86.jams
real-book_87,,What'll I Do,../../partitions/real-book/raw/What'll I Do.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_87.jams
real-book_88,,Till Then,../../partitions/real-book/raw/Till Then.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_88.jams
real-book_89,,Hard Times,../../partitions/real-book/raw/Hard Times.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_89.jams
real-book_90,,If I Loved You,../../partitions/real-book/raw/If I Loved You.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_90.jams
real-book_91,Sammy Nestico,Samantha,../../partitions/real-book/raw/Samantha - Sammy Nestico.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_91.jams
real-book_92,,Slow Poke,../../partitions/real-book/raw/Slow Poke.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_92.jams
real-book_93,,Early Autumn,../../partitions/real-book/raw/Early Autumn.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_93.jams
real-book_94,,Everything But You,../../partitions/real-book/raw/Everything But You.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_94.jams
real-book_95,,We're In The Money,../../partitions/real-book/raw/We're In The Money.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_95.jams
real-book_96,George Gershwin,I Got Rhythm,../../partitions/real-book/raw/I Got Rhythm - George Gershwin.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_96.jams
real-book_97,,Side By Side,../../partitions/real-book/raw/Side By Side.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_97.jams
real-book_98,,Sunnyland Blues,../../partitions/real-book/raw/Sunnyland Blues.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_98.jams
real-book_99,,Going Out Of My Head,../../partitions/real-book/raw/Going Out Of My Head.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_99.jams
real-book_100,,Faded Love,../../partitions/real-book/raw/Faded Love.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_100.jams
real-book_101,,Belle Of The Ball,../../partitions/real-book/raw/Belle Of The Ball.MGU.xlab,../../partitions/real-book/choco/jams/real-book_101.jams
real-book_102,,Davenport Blues,../../partitions/real-book/raw/Davenport Blues.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_102.jams
real-book_103,,Black And Tan Fantasy (Working On),../../partitions/real-book/raw/Black And Tan Fantasy (Working On).MGU.xlab,../../partitions/real-book/choco/jams/real-book_103.jams
real-book_104,Gordon & Revel,Good Night My Love,../../partitions/real-book/raw/Good Night My Love - Gordon & Revel.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_104.jams
real-book_105,Thomas 'fats' Waller,The Joint Is Jumpin',../../partitions/real-book/raw/The Joint Is Jumpin' - Thomas 'fats' Waller.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_105.jams
real-book_106,,Across The Alley From The Alamo,../../partitions/real-book/raw/Across The Alley From The Alamo.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_106.jams
real-book_107,,Bikini,../../partitions/real-book/raw/Bikini.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_107.jams
real-book_108,,A Lonely Man,../../partitions/real-book/raw/A Lonely Man.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_108.jams
real-book_109,,The End Of The World,../../partitions/real-book/raw/The End Of The World.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_109.jams
real-book_110,,Do-Re-Mi,../../partitions/real-book/raw/Do-Re-Mi.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_110.jams
real-book_111,,Chance To Try Again,../../partitions/real-book/raw/Chance To Try Again.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_111.jams
real-book_112,"Duke Ellington, Billy Strayhorn & Julian",Night Time,"../../partitions/real-book/raw/Night Time - Duke Ellington, Billy Strayhorn & Julian.MGU.xlab",../../partitions/real-book/choco/jams/real-book_112.jams
real-book_113,Zoot Sims,Zootcase,../../partitions/real-book/raw/Zootcase - Zoot Sims.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_113.jams
real-book_114,,The Touch Of Your Hand,../../partitions/real-book/raw/The Touch Of Your Hand.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_114.jams
real-book_115,,Tripping Up The Stairs,../../partitions/real-book/raw/Tripping Up The Stairs.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_115.jams
real-book_116,Arthur Herzog Jr & Irene Kitchings,Some Other Spring,../../partitions/real-book/raw/Some Other Spring - Arthur Herzog Jr & Irene Kitchings.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_116.jams
real-book_117,,Red Clay,../../partitions/real-book/raw/Red Clay.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_117.jams
real-book_118,Frank Foster,Blues Backstage,../../partitions/real-book/raw/Blues Backstage - Frank Foster.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_118.jams
real-book_119,,You Call It Madness (But I Call It Love),../../partitions/real-book/raw/You Call It Madness (But I Call It Love).Mgu.xlab,../../partitions/real-book/choco/jams/real-book_119.jams
real-book_120,,Sue's Theme,../../partitions/real-book/raw/Sue's Theme.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_120.jams
real-book_121,,Woodchopper's Ball,../../partitions/real-book/raw/Woodchopper's Ball.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_121.jams
real-book_122,,The Charleston,../../partitions/real-book/raw/The Charleston.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_122.jams
real-book_123,,Tandem In The Sun,../../partitions/real-book/raw/Tandem In The Sun.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_123.jams
real-book_124,Jeff Beale,Theme From Monk,../../partitions/real-book/raw/Theme From Monk - Jeff Beale.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_124.jams
real-book_125,,The Song Is Ended (But The Melody Lingers On),../../partitions/real-book/raw/The Song Is Ended (But The Melody Lingers On).Mgu.xlab,../../partitions/real-book/choco/jams/real-book_125.jams
real-book_126,,Abide With Me,../../partitions/real-book/raw/Abide With Me.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_126.jams
real-book_127,,The Touch Of Your Lips,../../partitions/real-book/raw/The Touch Of Your Lips.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_127.jams
real-book_128,Charley Gerard & Coleman Hawkins,Bridging The Gap,../../partitions/real-book/raw/Bridging The Gap - Charley Gerard & Coleman Hawkins.MGU.xlab,../../partitions/real-book/choco/jams/real-book_128.jams
real-book_129,,1 Morning In May,../../partitions/real-book/raw/1 Morning In May.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_129.jams
real-book_130,,I'm In The Market For You,../../partitions/real-book/raw/I'm In The Market For You.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_130.jams
real-book_131,,You Belong To Me,../../partitions/real-book/raw/You Belong To Me.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_131.jams
real-book_132,,When My Baby Smiles At Me,../../partitions/real-book/raw/When My Baby Smiles At Me.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_132.jams
real-book_133,,Symphony Sid,../../partitions/real-book/raw/Symphony Sid.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_133.jams
real-book_134,Cole Porter,I Get A Kick Out Of You,../../partitions/real-book/raw/I Get A Kick Out Of You - Cole Porter.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_134.jams
real-book_135,,Dreamym,../../partitions/real-book/raw/Dreamym.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_135.jams
real-book_136,,Little Rock Getaway,../../partitions/real-book/raw/Little Rock Getaway.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_136.jams
real-book_137,George & Ira Gerswin,It Ain't Necessarily So,../../partitions/real-book/raw/It Ain't Necessarily So - George & Ira Gerswin.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_137.jams
real-book_138,,Falling Star,../../partitions/real-book/raw/Falling Star.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_138.jams
real-book_139,,Estate,../../partitions/real-book/raw/Estate.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_139.jams
real-book_140,,As Long As I Live,../../partitions/real-book/raw/As Long As I Live.MGU.xlab,../../partitions/real-book/choco/jams/real-book_140.jams
real-book_141,,Solid,../../partitions/real-book/raw/Solid.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_141.jams
real-book_142,Charlie Parker,Dexterity,../../partitions/real-book/raw/Dexterity - Charlie Parker.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_142.jams
real-book_143,,Breakin' the Ice,../../partitions/real-book/raw/Breakin' the Ice.MGU.xlab,../../partitions/real-book/choco/jams/real-book_143.jams
real-book_144,,Swedish March,../../partitions/real-book/raw/Swedish March.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_144.jams
real-book_145,,Twilight,../../partitions/real-book/raw/Twilight.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_145.jams
real-book_146,,She Wears Red Feathers,../../partitions/real-book/raw/She Wears Red Feathers.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_146.jams
real-book_147,,The Brown Chest,../../partitions/real-book/raw/The Brown Chest.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_147.jams
real-book_148,,Aunt Hagar's Blues,../../partitions/real-book/raw/Aunt Hagar's Blues.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_148.jams
real-book_149,,Take My Blues Away,../../partitions/real-book/raw/Take My Blues Away.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_149.jams
real-book_150,,Crazy Love,../../partitions/real-book/raw/Crazy Love.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_150.jams
real-book_151,,Rosetta,../../partitions/real-book/raw/Rosetta.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_151.jams
real-book_152,,Trumpet,../../partitions/real-book/raw/Trumpet.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_152.jams
real-book_153,,Paper Doll,../../partitions/real-book/raw/Paper Doll.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_153.jams
real-book_154,,Why Can't You Behave,../../partitions/real-book/raw/Why Can't You Behave.MGU.xlab,../../partitions/real-book/choco/jams/real-book_154.jams
real-book_155,,Chattanooga Choo-Choo,../../partitions/real-book/raw/Chattanooga Choo-Choo.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_155.jams
real-book_156,Horace Silver,Doodlin',../../partitions/real-book/raw/Doodlin' - Horace Silver.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_156.jams
real-book_157,Soda,Runa,../../partitions/real-book/raw/Runa - Soda.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_157.jams
real-book_158,Billy Strayhorn,3-10 Blues,../../partitions/real-book/raw/3-10 Blues - Billy Strayhorn.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_158.jams
real-book_159,Cole Porter,You Do Something To Me,../../partitions/real-book/raw/You Do Something To Me - Cole Porter.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_159.jams
real-book_160,,If Those Lips Could Only Speak,../../partitions/real-book/raw/If Those Lips Could Only Speak.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_160.jams
real-book_161,,Ugly Chile,../../partitions/real-book/raw/Ugly Chile.MGU.xlab,../../partitions/real-book/choco/jams/real-book_161.jams
real-book_162,,The Wonder Of Samantha,../../partitions/real-book/raw/The Wonder Of Samantha.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_162.jams
real-book_163,,Life Is Just A Bowl Of Cherries,../../partitions/real-book/raw/Life Is Just A Bowl Of Cherries.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_163.jams
real-book_164,,All My Tomorrows,../../partitions/real-book/raw/All My Tomorrows.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_164.jams
real-book_165,,Gypsy,../../partitions/real-book/raw/Gypsy.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_165.jams
real-book_166,,Honeydripper,../../partitions/real-book/raw/Honeydripper.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_166.jams
real-book_167,Mack David & Ray Joseph,A Sinner Kissed An Angel,../../partitions/real-book/raw/A Sinner Kissed An Angel - Mack David & Ray Joseph.MGU.xlab,../../partitions/real-book/choco/jams/real-book_167.jams
real-book_168,,Statue Of A Fool,../../partitions/real-book/raw/Statue Of A Fool.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_168.jams
real-book_169,,Struttin' With Some Barbecue [Bossa],../../partitions/real-book/raw/Struttin' With Some Barbecue [Bossa].Mgu.xlab,../../partitions/real-book/choco/jams/real-book_169.jams
real-book_170,,Call Me,../../partitions/real-book/raw/Call Me.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_170.jams
real-book_171,,Spectacular,../../partitions/real-book/raw/Spectacular.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_171.jams
real-book_172,,Moonlight Bay,../../partitions/real-book/raw/Moonlight Bay.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_172.jams
real-book_173,,Dick Gossip,../../partitions/real-book/raw/Dick Gossip.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_173.jams
real-book_174,Lee Morgan,Sidewinder,../../partitions/real-book/raw/Sidewinder - Lee Morgan.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_174.jams
real-book_175,,I Could Write A Book,../../partitions/real-book/raw/I Could Write A Book.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_175.jams
real-book_176,,Laurel Tree,../../partitions/real-book/raw/Laurel Tree.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_176.jams
real-book_177,,I Love Lucy,../../partitions/real-book/raw/I Love Lucy.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_177.jams
real-book_178,George Gershwin,Summertime,../../partitions/real-book/raw/Summertime - George Gershwin.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_178.jams
real-book_179,,We Said It Was Forever,../../partitions/real-book/raw/We Said It Was Forever.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_179.jams
real-book_180,,April Showers,../../partitions/real-book/raw/April Showers.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_180.jams
real-book_181,,Why Did I Choose You,../../partitions/real-book/raw/Why Did I Choose You.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_181.jams
real-book_182,,You Can't Get A Man With A Gun,../../partitions/real-book/raw/You Can't Get A Man With A Gun.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_182.jams
real-book_183,,Unexpected Song,../../partitions/real-book/raw/Unexpected Song.Mgu.xlab,../../partitions/real-book/choco/jams/real-book_183.jams
