id,title,performers,release_year,file_path,jams_path
rock-corpus_73,I Can't Stop Loving You,Ray Charles,1962.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_73.jams
rock-corpus_74,I Fought The Law,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_74.jams
rock-corpus_75,I Got You (I Feel Good),James Brown,1965.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_75.jams
rock-corpus_76,I Heard It Through The Grapevine,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_76.jams
rock-corpus_77,I Only Have Eyes For You,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_77.jams
rock-corpus_78,I Saw Her Standing There,The Beatles,1964.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_78.jams
rock-corpus_79,I Still Haven't Found What I'm Looking For,U2,1987.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_79.jams
rock-corpus_80,I Walk The Line,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_80.jams
rock-corpus_81,I Wanna Be Sedated,The Ramones,1978.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_81.jams
rock-corpus_82,I Want To Hold Your Hand,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_82.jams
rock-corpus_83,I Want You Back,The Jackson 5,1969.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_83.jams
rock-corpus_84,I'm So Lonesome,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_84.jams
rock-corpus_85,I'm Waiting For The Man,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_85.jams
rock-corpus_86,Imagine,John Lennon,1971.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_86.jams
rock-corpus_87,In Bloom,Nirvana,1991.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_87.jams
rock-corpus_88,In My Life (1965),[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_88.jams
rock-corpus_89,In The Midnight Hour,Wilson Pickett,1965.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_89.jams
rock-corpus_90,In The Still Of The Night,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_90.jams
rock-corpus_91,"It's A Man's, Man's, Man's World",[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_91.jams
rock-corpus_92,I've Been Loving You,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_92.jams
rock-corpus_93,Jailhouse Rock,Elvis Presley,1957.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_93.jams
rock-corpus_94,Johnny B. Goode,Chuck Berry,1958.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_94.jams
rock-corpus_95,Jumpin' Jack Flash,The Rolling Stones,1968.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_95.jams
rock-corpus_96,Kashmir,Led Zeppelin,1975.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_96.jams
rock-corpus_97,Layla,Derek and the Dominos,1970.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_97.jams
rock-corpus_98,Let It Be,The Beatles,1970.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_98.jams
rock-corpus_99,Let's Get It On,Marvin Gaye,1973.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_99.jams
rock-corpus_100,Let's Stay Together,Al Green,1971.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_100.jams
rock-corpus_101,Light My Fire,The Doors,1967.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_101.jams
rock-corpus_102,Like A Rolling Stone,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_102.jams
rock-corpus_103,Little Red Corvette,Prince,1983.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_103.jams
rock-corpus_104,Living For The City,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_104.jams
rock-corpus_105,London Calling,The Clash,1980.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_105.jams
rock-corpus_106,Long Tall Sally,Little Richard,1956.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_106.jams
rock-corpus_107,Lose Yourself,Eminem,2002.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_107.jams
rock-corpus_108,Loser,Beck,1993.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_108.jams
rock-corpus_109,Losing My Religion,R.E.M.,1991.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_109.jams
rock-corpus_110,Louie Louie,The Kingsmen,1963.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_110.jams
rock-corpus_111,Love And Happiness,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_111.jams
rock-corpus_112,Love Will Tear Us Apart,Joy Division,1980.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_112.jams
rock-corpus_113,Lust For Life,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_113.jams
rock-corpus_114,Maggie May,Rod Stewart,1971.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_114.jams
rock-corpus_115,Maybellene,Chuck Berry,1955.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_115.jams
rock-corpus_116,Mr. Tambourine Man (Byrds),[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_116.jams
rock-corpus_117,Me And Bobby McGee,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_117.jams
rock-corpus_118,Mr. Tambourine Man (Dylan),[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_118.jams
rock-corpus_119,My Generation,The Who,1965.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_119.jams
