id,title,composers,subset,collection,movement,duration,file_path,jams_path
when-in-rome_15,Liebesklage des Mädchens,Johannes Brahms,OpenScore-LiederCorpus,"7 Lieder, Op.48",3,23,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Brahms,_Johannes/7_Lieder,_Op.48/3_Liebesklage_des_Mädchens/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_15.jams
when-in-rome_16,Berceuse,Cécile Chaminade,OpenScore-LiederCorpus,,,67,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Chaminade,_Cécile/_/Berceuse/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_16.jams
when-in-rome_17,Amoroso,Cécile Chaminade,OpenScore-LiederCorpus,,,50,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Chaminade,_Cécile/_/Amoroso/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_17.jams
when-in-rome_18,Sur la plage,Cécile Chaminade,OpenScore-LiederCorpus,,,50,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Chaminade,_Cécile/_/Sur_la_plage/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_18.jams
when-in-rome_19,Wenn der Abendstern die Rosen,Emilie Mayer,OpenScore-LiederCorpus,"3 Lieder, Op.7",3,28,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Mayer,_Emilie/3_Lieder,_Op.7/3_Wenn_der_Abendstern_die_Rosen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_19.jams
when-in-rome_20,Du bist wie eine Blume,Emilie Mayer,OpenScore-LiederCorpus,"3 Lieder, Op.7",1,32,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Mayer,_Emilie/3_Lieder,_Op.7/1_Du_bist_wie_eine_Blume/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_20.jams
when-in-rome_21,O lass mich dein gedenken,Emilie Mayer,OpenScore-LiederCorpus,"3 Lieder, Op.7",2,28,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Mayer,_Emilie/3_Lieder,_Op.7/2_O_lass_mich_dein_gedenken/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_21.jams
when-in-rome_22,Le chemin du ciel,Augusta Mary Anne Holmès,OpenScore-LiederCorpus,Contes divins,3,71,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Holmès,_Augusta_Mary_Anne/Contes_divins/3_Le_chemin_du_ciel/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_22.jams
when-in-rome_23,L’Heure d’Azur,Augusta Mary Anne Holmès,OpenScore-LiederCorpus,Les Heures,4,69,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Holmès,_Augusta_Mary_Anne/Les_Heures/4_L’Heure_d’Azur/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_23.jams
when-in-rome_24,Du nah’st!,Johanna Kinkel,OpenScore-LiederCorpus,"6 Lieder, Op.15",2,24,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Kinkel,_Johanna/6_Lieder,_Op.15/2_Du_nah’st!/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_24.jams
when-in-rome_25,Nachgefühl,Johanna Kinkel,OpenScore-LiederCorpus,"6 Lieder, Op.10",1,8,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Kinkel,_Johanna/6_Lieder,_Op.10/1_Nachgefühl/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_25.jams
when-in-rome_26,Die Kapelle,Emilie Zumsteeg,OpenScore-LiederCorpus,"6 Lieder, Op.4",1,21,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Zumsteeg,_Emilie/6_Lieder,_Op.4/1_Die_Kapelle/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_26.jams
when-in-rome_27,Maiglöckchen,Mathilde Kralik,OpenScore-LiederCorpus,Blumenlieder,1,25,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Kralik,_Mathilde/Blumenlieder/1_Maiglöckchen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_27.jams
when-in-rome_28,"Die Tanne (Sieh Doris, wie vom Mond bestrahlt )",Maria Theresia von Paradis,OpenScore-LiederCorpus,"12 Lieder, 1786",05,17,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Paradis,_Maria_Theresia_von/12_Lieder,_1786/05_Die_Tanne_(Sieh_Doris,_wie_vom_Mond_bestrahlt_)/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_28.jams
when-in-rome_29,Die Ersehnte,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"6 Lieder, Op.9",1,14,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.9/1_Die_Ersehnte/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_29.jams
when-in-rome_30,Die frühen Gräber,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"6 Lieder, Op.9",4,20,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.9/4_Die_frühen_Gräber/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_30.jams
when-in-rome_31,Der Maiabend,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"6 Lieder, Op.9",5,12,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.9/5_Der_Maiabend/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_31.jams
when-in-rome_32,Der Rosenkranz,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"6 Lieder, Op.9",3,43,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.9/3_Der_Rosenkranz/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_32.jams
when-in-rome_33,Ferne,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"6 Lieder, Op.9",2,25,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.9/2_Ferne/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_33.jams
when-in-rome_34,Die Mainacht,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"6 Lieder, Op.9",6,17,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.9/6_Die_Mainacht/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_34.jams
when-in-rome_35,Warum sind denn die Rosen so blass,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"6 Lieder, Op.1",3,41,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/3_Warum_sind_denn_die_Rosen_so_blass/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_35.jams
when-in-rome_36,Schwanenlied,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"6 Lieder, Op.1",1,53,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/1_Schwanenlied/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_36.jams
when-in-rome_37,Wanderlied,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"6 Lieder, Op.1",2,30,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/2_Wanderlied/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_37.jams
when-in-rome_38,Gondellied,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"6 Lieder, Op.1",6,39,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/6_Gondellied/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_38.jams
when-in-rome_39,Morgenständchen,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"6 Lieder, Op.1",5,39,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/5_Morgenständchen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_39.jams
when-in-rome_40,Mayenlied,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"6 Lieder, Op.1",4,43,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/6_Lieder,_Op.1/4_Mayenlied/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_40.jams
when-in-rome_41,Verlust,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,3 Lieder,2,41,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/3_Lieder/2_Verlust/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_41.jams
when-in-rome_42,Sehnsucht,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,3 Lieder,1,16,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/3_Lieder/1_Sehnsucht/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_42.jams
when-in-rome_43,Vorwurf,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"5 Lieder, Op.10",2,49,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/5_Lieder,_Op.10/2_Vorwurf/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_43.jams
when-in-rome_44,Im Herbste,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"5 Lieder, Op.10",4,38,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/5_Lieder,_Op.10/4_Im_Herbste/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_44.jams
when-in-rome_45,Abendbild,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"5 Lieder, Op.10",3,45,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/5_Lieder,_Op.10/3_Abendbild/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_45.jams
when-in-rome_46,Bergeslust,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"5 Lieder, Op.10",5,70,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/5_Lieder,_Op.10/5_Bergeslust/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_46.jams
when-in-rome_47,Nach Süden,Fanny (Mendelssohn) Hensel,OpenScore-LiederCorpus,"5 Lieder, Op.10",1,59,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Hensel,_Fanny_(Mendelssohn)/5_Lieder,_Op.10/1_Nach_Süden/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_47.jams
when-in-rome_48,Und wüssten’s die Blumen,Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",08,37,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/08_Und_wüssten’s_die_Blumen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_48.jams
when-in-rome_49,Im wunderschönen Monat Mai,Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",01,27,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/01_Im_wunderschönen_Monat_Mai/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_49.jams
when-in-rome_50,Hör’ ich das Liedchen klingen,Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",10,28,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/10_Hör’_ich_das_Liedchen_klingen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_50.jams
when-in-rome_51,"Die alten, bösen Lieder",Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",16,66,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/16_Die_alten,_bösen_Lieder/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_51.jams
when-in-rome_52,Ich hab’ im Traum geweinet,Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",13,39,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/13_Ich_hab’_im_Traum_geweinet/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_52.jams
when-in-rome_53,Allnächtlich im Traume,Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",14,39,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/14_Allnächtlich_im_Traume/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_53.jams
when-in-rome_54,Wenn ich in deine Augen seh’,Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",04,20,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/04_Wenn_ich_in_deine_Augen_seh’/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_54.jams
when-in-rome_55,"Im Rhein, im heiligen Strome",Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",06,59,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/06_Im_Rhein,_im_heiligen_Strome/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_55.jams
when-in-rome_56,Ich will meine Seele tauchen,Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",05,23,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/05_Ich_will_meine_Seele_tauchen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_56.jams
when-in-rome_57,Aus alten Märchen winkt es,Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",15,112,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/15_Aus_alten_Märchen_winkt_es/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_57.jams
when-in-rome_58,Das ist ein Flöten und Geigen,Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",09,81,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/09_Das_ist_ein_Flöten_und_Geigen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_58.jams
when-in-rome_59,Ein Jüngling liebt ein Mädchen,Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",11,45,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/11_Ein_Jüngling_liebt_ein_Mädchen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_59.jams
when-in-rome_60,Aus meinen Tränen sprießen,Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",02,18,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/02_Aus_meinen_Tränen_sprießen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_60.jams
when-in-rome_61,Ich grolle nicht,Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",07,36,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/07_Ich_grolle_nicht/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_61.jams
when-in-rome_62,Am leuchtenden Sommermorgen,Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",12,29,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/12_Am_leuchtenden_Sommermorgen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_62.jams
when-in-rome_63,"Die Rose, die Lilie",Robert Schumann,OpenScore-LiederCorpus,"Dichterliebe, Op.48",03,23,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Dichterliebe,_Op.48/03_Die_Rose,_die_Lilie/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_63.jams
when-in-rome_64,Ich kann’s nicht fassen,Robert Schumann,OpenScore-LiederCorpus,"Frauenliebe und Leben, Op.42",3,86,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Frauenliebe_und_Leben,_Op.42/3_Ich_kann’s_nicht_fassen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_64.jams
when-in-rome_65,Seit ich ihn gesehen,Robert Schumann,OpenScore-LiederCorpus,"Frauenliebe und Leben, Op.42",1,35,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schumann,_Robert/Frauenliebe_und_Leben,_Op.42/1_Seit_ich_ihn_gesehen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_65.jams
when-in-rome_66,Liebesfrühling,Robert Franz,OpenScore-LiederCorpus,"6 Gesänge, Op.14",5,27,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Franz,_Robert/6_Gesänge,_Op.14/5_Liebesfrühling/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_66.jams
when-in-rome_67,Die Wiese,Louise Reichardt,OpenScore-LiederCorpus,"Zwölf Gesänge, Op.3",07,13,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge,_Op.3/07_Die_Wiese/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_67.jams
when-in-rome_68,An Maria (aus Novalis geistlichen Liedern),Louise Reichardt,OpenScore-LiederCorpus,"Zwölf Gesänge, Op.3",11,17,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge,_Op.3/11_An_Maria_(aus_Novalis_geistlichen_Liedern)/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_68.jams
when-in-rome_69,Frühlingsblumen,Louise Reichardt,OpenScore-LiederCorpus,"Zwölf Gesänge, Op.3",01,16,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge,_Op.3/01_Frühlingsblumen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_69.jams
when-in-rome_70,Die Blume der Blumen,Louise Reichardt,OpenScore-LiederCorpus,"Zwölf Gesänge, Op.3",03,19,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge,_Op.3/03_Die_Blume_der_Blumen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_70.jams
when-in-rome_71,Kaeuzlein,Louise Reichardt,OpenScore-LiederCorpus,"Zwölf Gesänge, Op.3",08,13,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge,_Op.3/08_Kaeuzlein/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_71.jams
when-in-rome_72,Betteley der Vögel,Louise Reichardt,OpenScore-LiederCorpus,"Zwölf Gesänge, Op.3",05,19,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge,_Op.3/05_Betteley_der_Vögel/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_72.jams
when-in-rome_73,Der Mond,Louise Reichardt,OpenScore-LiederCorpus,"Zwölf Gesänge, Op.3",10,33,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge,_Op.3/10_Der_Mond/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_73.jams
when-in-rome_74,Wachtelwacht,Louise Reichardt,OpenScore-LiederCorpus,"Zwölf Gesänge, Op.3",04,31,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge,_Op.3/04_Wachtelwacht/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_74.jams
when-in-rome_75,Der traurige Wanderer,Louise Reichardt,OpenScore-LiederCorpus,"Zwölf Gesänge, Op.3",02,17,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge,_Op.3/02_Der_traurige_Wanderer/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_75.jams
when-in-rome_76,Kriegslied des Mays,Louise Reichardt,OpenScore-LiederCorpus,"Zwölf Gesänge, Op.3",06,14,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge,_Op.3/06_Kriegslied_des_Mays/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_76.jams
when-in-rome_77,Duettino,Louise Reichardt,OpenScore-LiederCorpus,"Zwölf Gesänge, Op.3",12,36,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge,_Op.3/12_Duettino/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_77.jams
when-in-rome_78,Hier liegt ein Spielmann begraben,Louise Reichardt,OpenScore-LiederCorpus,"Zwölf Gesänge, Op.3",09,20,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge,_Op.3/09_Hier_liegt_ein_Spielmann_begraben/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_78.jams
when-in-rome_79,Frühlingslied,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Deutsche und Italiänische Romantische Gesänge,01,18,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Deutsche_und_Italiänische_Romantische_Gesänge/01_Frühlingslied/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_79.jams
