id,title,artists,duration,mbid,jams_path
weimar_280,D.B. Blues,Lester Young,70.34081632653063,9139bd63-d359-449c-89f1-50e8c397e047,../../partitions/weimar/choco/jams/weimar_280.jams
weimar_281,Destination K.C.,Lester Young,62.53061224489796,3725f70c-2ac2-43a3-8448-b9672943deaf,../../partitions/weimar/choco/jams/weimar_281.jams
weimar_282,Dickie's Dream,Lester Young,31.20612244897959,67e7059d-7127-432b-be9b-a51f171a3828,../../partitions/weimar/choco/jams/weimar_282.jams
weimar_283,Lester Leaps In,Lester Young,60.89850340136054,369a52fc-8a40-42e4-954d-a09c228cd381,../../partitions/weimar/choco/jams/weimar_283.jams
weimar_284,Six Cats and a Prince,Lester Young,69.81895691609976,68b19d4d-1f81-4ff8-86f3-139fc10dc26a,../../partitions/weimar/choco/jams/weimar_284.jams
weimar_285,Avalon,Lionel Hampton,32.00163265306122,7e8d5670-50a7-42f9-a895-63324f4fc8be,../../partitions/weimar/choco/jams/weimar_285.jams
weimar_286,Dinah,Lionel Hampton,77.16734693877551,5f037a7b-d363-4dce-bd5e-f0de84a23e6c,../../partitions/weimar/choco/jams/weimar_286.jams
weimar_287,High Society,Lionel Hampton,30.23673469387755,c34421ee-01d4-465c-9cbe-956e568ef339,../../partitions/weimar/choco/jams/weimar_287.jams
weimar_288,Memories of You,Lionel Hampton,93.49369614512472,4b415b24-b346-4ce8-a7e0-3411768cd44c,../../partitions/weimar/choco/jams/weimar_288.jams
weimar_289,Runnin' Wild,Lionel Hampton,26.328526077097507,1be0f453-dc33-48a2-8dfc-af1954c14930,../../partitions/weimar/choco/jams/weimar_289.jams
weimar_290,Whispering,Lionel Hampton,38.24199546485261,e2eaf13c-0839-450e-9829-43aad387eceb,../../partitions/weimar/choco/jams/weimar_290.jams
weimar_291,Basin Street Blues,Louis Armstrong,67.16836734693878,931ad827-b244-41f0-bc26-0694dc50c041,../../partitions/weimar/choco/jams/weimar_291.jams
weimar_292,Big Butter and Egg Man,Louis Armstrong,40.076190476190476,41375696-2e0a-4999-bda5-11537655b37e,../../partitions/weimar/choco/jams/weimar_292.jams
weimar_293,Cornet Chop Suey,Louis Armstrong,19.363990929705214,d5383a95-1953-41a0-b902-8a2c6da34ca1,../../partitions/weimar/choco/jams/weimar_293.jams
weimar_294,Got No Blues,Louis Armstrong,57.162244897959184,d45672c4-280c-4df5-a6b6-6de4a4f836ce,../../partitions/weimar/choco/jams/weimar_294.jams
weimar_295,Gut Bucket Blues,Louis Armstrong,20.700589569160996,2f50dacd-2e7f-437e-b3ca-570f7c296d85,../../partitions/weimar/choco/jams/weimar_295.jams
weimar_296,Muskrat Ramble,Louis Armstrong,21.746938775510205,4181ff38-0766-46fd-a8b7-32b9bf0e9dae,../../partitions/weimar/choco/jams/weimar_296.jams
weimar_297,Once in a While,Louis Armstrong,40.61605442176871,47e03000-d06d-4335-801b-42bd86b2a136,../../partitions/weimar/choco/jams/weimar_297.jams
weimar_298,Savoy Blues,Louis Armstrong,44.15419501133786,7cf8105b-55c8-4468-821e-d5b2989d639d,../../partitions/weimar/choco/jams/weimar_298.jams
