COMPOSER,COLLECTION (where applicable),SONG NUMBER AND TITLE,HUMAN ANALYSIS,LYRICIST,FIRST TS,FIRST KS,URL
"Brahms, Johannes","2 Gesänge, Op.91",2 Geistliches Wiegenlied,N,"Lope de Vega (1562-1635), Emanuel Geibel (1815.1884), translator",6/8,-1,https://musescore.com/score/6320420
"Brahms, Johannes","4 Gesänge, Op.46",1 Die Kränze,N,Georg Friedrich Daumer,4/4,-5,https://musescore.com/score/5084888
"Brahms, Johannes","4 Gesänge, Op.46",2 Magyarisch,N,Georg Friedrich Daumer,2/4,3,https://musescore.com/score/5071668
"Brahms, Johannes","4 Gesänge, Op.46",3 Die Schale der Vergessenheit,N,Ludwig Christoph Heinrich Hölty,3/4,4,https://musescore.com/score/5071654
"Brahms, Johannes","4 Gesänge, Op.46",4 An die Nachtigall,N,Ludwig Christoph Heinrich Hölty,4/4,4,https://musescore.com/score/5084966
"Brahms, Johannes","4 Songs, Op.43",1 Von ewiger Liebe,N,Josef Wenzig,3/4,2,https://musescore.com/score/5153813
"Brahms, Johannes","4 Songs, Op.43",2 Die Mainacht,N,Ludwig Christoph Heinrich Hölty,4/4,-3,https://musescore.com/score/5153947
"Brahms, Johannes","4 Songs, Op.43",3 Ich schell mein Horn ins Jammertal,N,Altdeutsch,2/2,-2,https://musescore.com/score/5067677
"Brahms, Johannes","4 Songs, Op.43",4 Das Lied vom Herrn von Falkenstein,N,Aus Uhlands Volksliedern,4/4,-3,https://musescore.com/score/5067672
"Brahms, Johannes","5 Lieder, Op.47",1 Botschaft,N,Nach Hafis von Daumer,9/8,-5,https://musescore.com/score/5656522
"Brahms, Johannes","5 Lieder, Op.47",2 Liebesglut,N,Georg Friedrich Daumer,2/4,-4,https://musescore.com/score/4946175
"Brahms, Johannes","5 Lieder, Op.47",3 Sonntag,N,Aus Uhlands Volksliedern,3/4,-1,https://musescore.com/score/5654342
"Brahms, Johannes","5 Lieder, Op.47",4 O liebliche Wangen,N,Paul Flemming,6/8,2,https://musescore.com/score/5659823
"Brahms, Johannes","5 Lieder, Op.47",5 Die Liebende schreibt,N,Johann Wolfgang von Goethe,6/8,-3,https://musescore.com/score/5071644
"Brahms, Johannes","5 Lieder, Op.49",1 Am Sonntag Morgen,N,[Missing entry],2/4,1,https://musescore.com/score/5700433
"Brahms, Johannes","5 Lieder, Op.49",2 An ein Veilchen,N,[Missing entry],6/8,4,https://musescore.com/score/5667944
"Brahms, Johannes","5 Lieder, Op.49",3 Sehnsucht,N,"Josef Wenzig, aus dem Böhmischen",3/4,-4,https://musescore.com/score/5098713
"Brahms, Johannes","5 Lieder, Op.49",4 Wiegenlied,N,"Traditional, from Des Knaben Wunderhorn, and Georg Scherer",3/4,-3,https://musescore.com/score/5701612
"Brahms, Johannes","5 Lieder, Op.49",5 Abenddämmerung,N,Adolf Friedrich von Schack,3/4,4,https://musescore.com/score/4978492
"Brahms, Johannes","5 Poems, Op.19",1 Der Kuss,N,Ludwig Christoph Heinrich Hölty,3/8,-2,https://musescore.com/score/5069022
"Brahms, Johannes","5 Poems, Op.19",2 Scheiden und Meiden,N,Ludwig Uhland,3/4,-1,https://musescore.com/score/5069028
"Brahms, Johannes","5 Poems, Op.19",3 In der Ferne,N,Ludwig Uhland,3/4,-1,https://musescore.com/score/5069033
"Brahms, Johannes","5 Poems, Op.19",4 Der Schmied,N,Johann Ludwig Uhland,3/4,-2,https://musescore.com/score/5654485
"Brahms, Johannes","5 Poems, Op.19",5 An eine Äolsharfe,N,Eduard Friedrich Mörike,2/2,-4,https://musescore.com/score/5667745
"Brahms, Johannes","6 Songs, Op.3",1 Liebestreu,N,Robert Reinick,4/4,-6,https://musescore.com/score/5667843
"Brahms, Johannes","6 Songs, Op.3",2 Liebe und Frühling I,N,August Heinrich Hoffmann von Fallersleben,4/4,5,https://musescore.com/score/4904021
"Brahms, Johannes","6 Songs, Op.3",3 Liebe und Frühling II,YES,August Heinrich Hoffmann von Fallersleben,4/4,5,https://musescore.com/score/5004701
"Brahms, Johannes","6 Songs, Op.3",4 Lied aus dem Gedicht „Ivan“,N,Friedrich Bodenstedt,4/4,-6,https://musescore.com/score/5667849
"Brahms, Johannes","6 Songs, Op.3",5 In der Fremde,N,Joseph von Eichendorff,4/4,3,https://musescore.com/score/5098672
"Brahms, Johannes","6 Songs, Op.3",6 Lied,N,Joseph von Eichendorff,9/8,3,https://musescore.com/score/5098678
"Brahms, Johannes","6 Songs, Op.6",1 Spanisches Lied,N,[Missing entry],3/4,0,https://musescore.com/score/5636215
"Brahms, Johannes","6 Songs, Op.6",2 Der Frühling,N,Johann Baptist Rousseau,6/8,4,https://musescore.com/score/5067692
"Brahms, Johannes","6 Songs, Op.6",3 Nachwirkung,N,Alfred Meissner,9/8,-4,https://musescore.com/score/5098700
"Brahms, Johannes","6 Songs, Op.6",4 Juchhe!,N,Robert Reinick,6/8,-3,https://musescore.com/score/5098690
"Brahms, Johannes","6 Songs, Op.6",5 Wie die Wolke nach der Sonne,N,August Heinrich Hoffmann von Fallersleben,4/4,5,https://musescore.com/score/5098732
"Brahms, Johannes","6 Songs, Op.6",6 Nachtigallen schwingen lustig,N,August Heinrich Hoffmann von Fallersleben,4/4,-4,https://musescore.com/score/5639135
"Brahms, Johannes","6 Songs, Op.7",1 Treue Liebe,N,Eduard Ferrand (Eduard Schulz),6/8,3,https://musescore.com/score/5649214
"Brahms, Johannes","6 Songs, Op.7",2 Parole,N,Joseph von Eichenforff,6/8,1,https://musescore.com/score/5652206
"Brahms, Johannes","6 Songs, Op.7",3 Anklänge,N,Joseph von Eichenforff,3/4,0,https://musescore.com/score/5652250
"Brahms, Johannes","6 Songs, Op.7",4 Volkslied,N,Volkslieder,3/4,1,https://musescore.com/score/5098632
"Brahms, Johannes","6 Songs, Op.7",5 Die Trauernde,N,Volkslied,3/4,0,https://musescore.com/score/5098625
"Brahms, Johannes","6 Songs, Op.7",6 Heimkehr,N,Johann Ludwig Uhland,4/4,2,https://musescore.com/score/5653497
"Brahms, Johannes","7 Lieder, Op.48",1 Der Gang zum Liebchen,N,Josef Wenzig,3/4,1,https://musescore.com/score/5705406
"Brahms, Johannes","7 Lieder, Op.48",2 Der Überläufer,N,"Traditional (""Aus des Knaben Wunderhorn"")",2/4,3,https://musescore.com/score/5071622
"Brahms, Johannes","7 Lieder, Op.48",3 Liebesklage des Mädchens,YES,Aus des Knaben Wunderhorn (eds. von Arnim and Brentano),6/4,5,https://musescore.com/score/4946239
"Brahms, Johannes","7 Lieder, Op.48",4 Gold überwiegt die Liebe,N,Josef Wenzig,2/4,1,https://musescore.com/score/5705564
"Brahms, Johannes","7 Lieder, Op.48",5 Trost in Tränen,N,Johann Wolfgang von Goethe,6/8,4,https://musescore.com/score/5071629
"Brahms, Johannes","7 Lieder, Op.48",6 Vergangen ist mir Glück und Heil,N,Traditional (Old German),4/2,0,https://musescore.com/score/5705502
"Brahms, Johannes","7 Lieder, Op.48",7 Herbstgefühl,N,Adolf Friedrich von Schack (1815-1894),3/4,3,https://musescore.com/score/5071636
"Brahms, Johannes","8 Lieder and Romances, Op.14",1 Vor dem Fenster,N,Volkslied,3/8,-2,https://musescore.com/score/5695716
"Brahms, Johannes","8 Lieder and Romances, Op.14",2 Vom verwundeten Knaben,N,Volkslied,2/4,0,https://musescore.com/score/5695728
"Brahms, Johannes","8 Lieder and Romances, Op.14",3 Murrays Ermordung,N,Schottisch; aus Herders Stimmen der Völker,2/4,1,https://musescore.com/score/5695734
"Brahms, Johannes","8 Lieder and Romances, Op.14",4 Ein Sonett,N,"Original French by Thibaut IV, Graf von Champagne und König von Navarra (1201 - 1253)  :  German translation by Johann Gottfried Herder (1744–1803)",3/4,-4,https://musescore.com/score/5725144
"Brahms, Johannes","8 Lieder and Romances, Op.14",5 Trennung,N,Volkslied,6/8,-1,https://musescore.com/score/5726490
"Brahms, Johannes","8 Lieder and Romances, Op.14",6 Gang zur Liebsten,N,Volkslied,6/8,1,https://musescore.com/score/5098666
"Brahms, Johannes","8 Lieder and Romances, Op.14",7 Ständchen,N,Volkslied,3/4,-1,https://musescore.com/score/5729178
"Brahms, Johannes","8 Lieder and Romances, Op.14",8 Sehnsucht,N,Volkslied,3/4,1,https://musescore.com/score/5729860
"Brahms, Johannes","8 Lieder und Gesänge, Op.57",1 Von waldbekränzter Höhe,N,Georg Friedrich Daumer,4/4,1,https://musescore.com/score/5106861
"Brahms, Johannes","8 Lieder und Gesänge, Op.57",2 Wenn du nur zuweilen lächelst,N,Georg Friedrich Daumer,9/8,-3,https://musescore.com/score/5107106
"Brahms, Johannes","8 Lieder und Gesänge, Op.57",3 Es träumte mir,N,Georg Friedrich Daumer,6/8,5,https://musescore.com/score/5071686
"Brahms, Johannes","8 Lieder und Gesänge, Op.57","4 Ach, wende diesen Blick",N,Joseph von Eichendorff,3/4,-4,https://musescore.com/score/5033057
"Brahms, Johannes","8 Lieder und Gesänge, Op.57",5 In meiner Nächte Sehnen,N,Georg Friedrich Daumer,6/8,1,https://musescore.com/score/5071689
"Brahms, Johannes","8 Lieder und Gesänge, Op.57",6 Strahlt zuweilen auch ein mildes Licht,N,Georg Friedrich Daumer,6/8,4,https://musescore.com/score/5071694
"Brahms, Johannes","8 Lieder und Gesänge, Op.57","7 Die Schnur, die Perl an Perle",N,Georg Friedrich Daumer,3/4,5,https://musescore.com/score/5071678
"Brahms, Johannes","8 Lieder und Gesänge, Op.57",8 Unbewegte laue Luft,N,Georg Friedrich Daumer,9/8,4,https://musescore.com/score/5155459
"Brahms, Johannes","8 Lieder und Gesänge, Op.58",1 Blinde Kuh,N,August Kopisch,2/4,-2,https://musescore.com/score/5123355
"Brahms, Johannes","8 Lieder und Gesänge, Op.58",2 Während des Regens,N,August von Köpisch,6/4,-5,https://musescore.com/score/5098725
"Brahms, Johannes","8 Lieder und Gesänge, Op.58",3 Die Spröde,N,Aus dem Kalabresischen von August Kopisch,2/4,3,https://musescore.com/score/5071703
"Brahms, Johannes","8 Lieder und Gesänge, Op.58","4 O komme, holde Sommernacht",N,Melchior Grohe,4/4,6,https://musescore.com/score/5098705
"Brahms, Johannes","8 Lieder und Gesänge, Op.58",5 Schwermut,N,Carl Candidus,4/4,-6,https://musescore.com/score/5098709
"Brahms, Johannes","8 Lieder und Gesänge, Op.58",6 In der Gasse,N,Friedrich Hebbel,3/4,-1,https://musescore.com/score/5098685
"Brahms, Johannes","8 Lieder und Gesänge, Op.58",7 Vorüber,N,Friedrich Hebbel,4/4,-1,https://musescore.com/score/5098719
"Brahms, Johannes","8 Lieder und Gesänge, Op.58",8 Serenade,N,Adolf Friedrich von Schack,6/8,0,https://musescore.com/score/5098715
"Brahms, Johannes","8 Lieder und Gesänge, Op.59",1 Dämmrung senkte sich von oben,N,Johann Wolfgang von Goethe,3/8,-2,https://musescore.com/score/5057822
"Brahms, Johannes","8 Lieder und Gesänge, Op.59",2 Auf dem See,N,Carl Simrock,3/4,4,https://musescore.com/score/5057985
"Brahms, Johannes","8 Lieder und Gesänge, Op.59",3 Regenlied,N,Klaus Groth,2/2,3,https://musescore.com/score/5058091
"Brahms, Johannes","8 Lieder und Gesänge, Op.59",4 Nachklang,N,Klaus Groth,2/2,3,https://musescore.com/score/5058194
"Brahms, Johannes","8 Lieder und Gesänge, Op.59",5 Agnes,N,Eduard Mörike,3/4,-2,https://musescore.com/score/5087729
"Brahms, Johannes","8 Lieder und Gesänge, Op.59","6 Eine gute, gute Nacht",N,Georg Friedrich Daumer,2/4,0,https://musescore.com/score/4926375
"Brahms, Johannes","8 Lieder und Gesänge, Op.59",7 Mein wundes Herz,N,Klaus Groth,4/4,1,https://musescore.com/score/5058636
"Brahms, Johannes","8 Lieder und Gesänge, Op.59",8 Dein blaues Auge,N,Klaus Groth,4/4,-3,https://musescore.com/score/5058657
"Brahms, Johannes","9 Lieder und Gesänge, Op.32",1 Wie rafft ich mich auf in der Nacht,N,August von Platen,4/4,-4,https://musescore.com/score/5069058
"Brahms, Johannes","9 Lieder und Gesänge, Op.32",2 Nicht mehr zu dir zu gehen,N,Georg Friedrich Daumer (from a Moldavian folk song),3/2,-1,https://musescore.com/score/5846184
"Brahms, Johannes","9 Lieder und Gesänge, Op.32",3 Ich schleich umher betrübt,N,August von Platen,3/4,-1,https://musescore.com/score/5069066
"Brahms, Johannes","9 Lieder und Gesänge, Op.32","4 Der Strom, der neben mir verrauschte",N,August von Platen,4/4,4,https://musescore.com/score/5069048
"Brahms, Johannes","9 Lieder und Gesänge, Op.32","5 Wehe, so willst du mich wieder",N,August von Platen,9/8,2,https://musescore.com/score/5846139
"Brahms, Johannes","9 Lieder und Gesänge, Op.32","6 Du sprichst, dass ich mich täuschte",N,August von Platen,4/4,-3,https://musescore.com/score/5098641
"Brahms, Johannes","9 Lieder und Gesänge, Op.32",7 Bitteres zu sagen denkst du,N,Georg Friedrich Daumer (after Hafiz),4/4,-1,https://musescore.com/score/5033089
"Brahms, Johannes","9 Lieder und Gesänge, Op.32","8 So stehn wir, ich und meine Weide",N,"Georg Friedric Daumer, nach Hafis",2/2,-4,https://musescore.com/score/5098645
"Brahms, Johannes","9 Lieder und Gesänge, Op.32","9 Wie bist du, meine Königin",N,"Georg Friedric Daumer, nach Hafis",3/8,-3,https://musescore.com/score/5846100
"Brahms, Johannes","9 Lieder und Gesänge, Op.63",1 Frühlingstrost,N,Max von Schenkendorf,6/4,3,https://musescore.com/score/5098659
"Brahms, Johannes","9 Lieder und Gesänge, Op.63",2 Erinnerung,N,Max von Schenkendorf,3/4,0,https://musescore.com/score/5098657
"Brahms, Johannes","9 Lieder und Gesänge, Op.63",3 An ein Bild,N,Max von Schenkendorf,4/4,-4,https://musescore.com/score/5925389
"Brahms, Johannes","9 Lieder und Gesänge, Op.63",4 An die Tauben,N,Max von Schenkendorf,4/4,0,https://musescore.com/score/5033075
"Brahms, Johannes","9 Lieder und Gesänge, Op.63",5 Junge Lieder I,N,Felix Schumann,4/4,6,https://musescore.com/score/5934726
"Brahms, Johannes","9 Lieder und Gesänge, Op.63",6 Junge Lieder II,N,Felix Schumann,6/4,2,https://musescore.com/score/5098728
"Brahms, Johannes","9 Lieder und Gesänge, Op.63",7 Heimweh I,N,Klaus Groth,2/4,1,https://musescore.com/score/5936324
"Brahms, Johannes","9 Lieder und Gesänge, Op.63",8 Heimweh II,N,Klaus Groth,6/4,4,https://musescore.com/score/5937814
"Brahms, Johannes","9 Lieder und Gesänge, Op.63",9 Heimweh III,N,Klaus Groth,2/4,3,https://musescore.com/score/5940230
"Burleigh, Harry Thacker", ,"Go down, Moses",N,Exodus 8,4/4,2,https://musescore.com/score/6351349
"Butterworth, George",6 Songs from A Shropshire Lad,"1 Loveliest of trees, the Cherry now",N,"Housman,  Alfred Edward",4/4,4,https://musescore.com/score/6214840
"Butterworth, George",6 Songs from A Shropshire Lad,2 When I was one and twenty,N,Alfred Edward Housman,2/2,4,https://musescore.com/score/6214844
"Butterworth, George",6 Songs from A Shropshire Lad,3 Look not in my eyes,N,Alfred Edward Housman,5/4,-1,https://musescore.com/score/6214845
"Butterworth, George",6 Songs from A Shropshire Lad,"4 Think no more, lad",N,Alfred Edward Housman,2/4,5,https://musescore.com/score/6214846
"Butterworth, George",6 Songs from A Shropshire Lad,5 The lads in their hundreds,N,Alfred Edward Housman,6/8,6,https://musescore.com/score/6214847
"Butterworth, George",6 Songs from A Shropshire Lad,6 Is my team ploughing,N,Alfred Edward Housman,4/4,-2,https://musescore.com/score/6214848
"Chabrier, Emmanuel", ,Villanelle des petits canards,N,Rosemonde Gérard,2/4,-1,https://musescore.com/score/5077917
"Chaminade, Cécile", ,Alleluia,N,Paul Mariéton,3/4,0,https://musescore.com/score/6260992
"Chaminade, Cécile", ,Amertume,N,"D. Enoch (probably Daniel Enoch, head of the music publishing house Enoch & Cie from about 1910, and who died in Auschwitz-Birkenau in 1944)",4/4,1,https://musescore.com/score/6261036
"Chaminade, Cécile", ,Amoroso,YES,Armand Silvestre,3/4,-3,https://musescore.com/score/4999292
"Chaminade, Cécile", ,Amour d’automne,N,Armand Silvestre,2/4,-1,https://musescore.com/score/4999304
"Chaminade, Cécile", ,Au pays bleu,N,Charles Fuster,4/4,0,https://musescore.com/score/6261607
"Chaminade, Cécile", ,Aubade,N,Thérèse Maquet,2/4,1,https://musescore.com/score/6262515
"Chaminade, Cécile", ,Auprès de ma mie,N,Octave Pradels,2/4,3,https://musescore.com/score/4999309
"Chaminade, Cécile", ,Avril s’éveille,N,Robert Myriel,6/8,0,https://musescore.com/score/6262544
"Chaminade, Cécile", ,Ballade à la lune,N,Alfred de Musset,4/4,-3,https://musescore.com/score/6264558
"Chaminade, Cécile", ,Berceuse,N,Édouard Guinand,3/8,-3,https://musescore.com/score/6264559
"Chaminade, Cécile", ,Bleus,N,Charles Fuster,4/4,2,https://musescore.com/score/6264560
"Chaminade, Cécile", ,Bonne humeur,N,Amélie de Wailly,12/8,0,https://musescore.com/score/6264562
"Chaminade, Cécile", ,Chanson Groënlandaise,N,Jules Verne,2/4,0,https://musescore.com/score/6293357
"Chaminade, Cécile", ,Chanson espagnole,N,French lyrics by Armand Lafrique,6/8,-3,https://musescore.com/score/6312216
"Chaminade, Cécile", ,Colette,N,(Paul) Jules Barbier,4/4,-3,https://musescore.com/score/4999324
"Chaminade, Cécile", ,Fleur jetée,N,Armand Silvestre,4/4,-3,https://musescore.com/score/5001810
"Chaminade, Cécile", ,L'été,N,Edouard Guinand,6/8,3,https://musescore.com/score/5987667
"Chaminade, Cécile", ,La Fiancée du soldat,N,Charles Jean Grandmougin,12/8,-1,https://musescore.com/score/4999581
"Chaminade, Cécile", ,Les Rêves,N,Louis Guays,4/4,-2,https://musescore.com/score/4999602
"Chaminade, Cécile", ,L’Idéal,N,René-François Sully-Prudhomme,9/8,-4,https://musescore.com/score/4999332
"Chaminade, Cécile", ,L’absente,N,Edouard Guinard,2/4,-2,https://musescore.com/score/4999590
"Chaminade, Cécile", ,L’allée d’émeraude et d’or,N,Robert Myriel,2/2,1,https://musescore.com/score/6260946
"Chaminade, Cécile", ,L’amour captif,N,Thérèse Maquet,3/8,-3,https://musescore.com/score/6263726
"Chaminade, Cécile", ,L’été,N,Edouard Guinand,6/8,3,https://musescore.com/score/5987667
"Chaminade, Cécile", ,Madrigal,N,Georges van Ormelingen,2/4,0,https://musescore.com/score/5001820
"Chaminade, Cécile", ,Plaintes d’amour,N,Eugène Adenis,4/4,0,https://musescore.com/score/4999607
"Chaminade, Cécile", ,Ritournelle,N,François Coppée,4/4,0,https://musescore.com/score/5000341
"Chaminade, Cécile", ,Rosemonde,N,Marc Constantin  (English words by Clifton Bingham),4/4,0,https://musescore.com/score/5000347
"Chaminade, Cécile", ,Rêve d’un soir,N,Eugène Adénis,4/4,2,https://musescore.com/score/5000336
"Chaminade, Cécile", ,Souhait,N,Georges Vanor,4/4,0,https://musescore.com/score/5004771
"Chaminade, Cécile", ,Sur la plage,N,Edouard Guinand,3/4,-2,https://musescore.com/score/5000363
"Chausson, Ernest","7 Mélodies, Op.2",1 Nanny,N,Leconte de Lisle,3/4,4,https://musescore.com/score/5077645
"Chausson, Ernest","7 Mélodies, Op.2",2 Le Charme,N,Armand Silvestre,4/4,-3,https://musescore.com/score/5077651
"Chausson, Ernest","7 Mélodies, Op.2",3 Les Papillons,N,Théophile Gautier,2/4,1,https://musescore.com/score/5077660
"Chausson, Ernest","7 Mélodies, Op.2",4 La dernière feuille,N,"Gautier, Théophile",2/4,2,https://musescore.com/score/5077675
"Chausson, Ernest","7 Mélodies, Op.2",5 Sérénade italienne,N,Paul Bourget,3/2,5,https://musescore.com/score/5920728
"Chausson, Ernest","7 Mélodies, Op.2",6 Hébé,N,Louise-Victorine Ackermann,6/4,0,https://musescore.com/score/5161599
"Chausson, Ernest","7 Mélodies, Op.2",7 Le Colibri,YES,Leconte de Lisle,5/4,-5,https://musescore.com/score/5077780
"Chausson, Ernest","Serres chaudes, Op.24",1 Serre chaude,N,Maurice Maeterlinck,3/4,2,https://musescore.com/score/5057840
"Chausson, Ernest","Serres chaudes, Op.24",2 Serre d'ennui,N,"Maeterlinck, Maurice",4/4,1,https://musescore.com/score/5057844
"Chausson, Ernest","Serres chaudes, Op.24",2 Serre d’ennui,N,"Maeterlinck, Maurice",4/4,1,https://musescore.com/score/5057844
"Chausson, Ernest","Serres chaudes, Op.24",3 Lassitude,N,"Maeterlinck, Maurice",3/2,3,https://musescore.com/score/5057847
"Chausson, Ernest","Serres chaudes, Op.24",4 Fauves las,N,Maurice Maeterlinck,4/4,-4,https://musescore.com/score/5057851
"Chausson, Ernest","Serres chaudes, Op.24",5 Oraison,N,Maurice Maeterlinck,2/2,-6,https://musescore.com/score/5057849
"Coleridge-Taylor, Samuel","6 Sorrow Songs, Op.57",1 Oh what comes over the Sea,N,Christina Rossetti,9/8,1,https://musescore.com/score/6189652
"Coleridge-Taylor, Samuel","6 Sorrow Songs, Op.57","2 When I am dead, my dearest",N,Christina Rossetti,3/4,1,https://musescore.com/score/6189644
"Coleridge-Taylor, Samuel","6 Sorrow Songs, Op.57","3 Oh, Roses for the flush of youth",N,Christina Rossetti,2/4,-4,https://musescore.com/score/6189637
"Coleridge-Taylor, Samuel","6 Sorrow Songs, Op.57",4 She sat and sang alway,N,Christina Rossetti,3/8,3,https://musescore.com/score/6189628
"Coleridge-Taylor, Samuel","6 Sorrow Songs, Op.57",5 Unmindful of the Roses,N,Christina Rossetti,3/4,4,https://musescore.com/score/6189622
"Coleridge-Taylor, Samuel","6 Sorrow Songs, Op.57",6 Too late for love,N,Christina Rossetti,4/4,-2,https://musescore.com/score/6189616
"Coleridge-Taylor, Samuel", ,"Oh, the Summer",N,Isabel Ecclestone Mackay,3/8,-4,https://musescore.com/score/6232117
"Cornelius, Peter","6 Lieder, Op.1",1 Untreu,N,Peter Cornelius,3/4,-4,https://musescore.com/score/5054931
"Cornelius, Peter","6 Lieder, Op.1",2 Veilchen,N,Peter Cornelius,3/4,-4,https://musescore.com/score/5054941
"Cornelius, Peter","6 Lieder, Op.1",3 Wiegenlied,N,Peter Cornelius,6/8,2,https://musescore.com/score/5054946
"Cornelius, Peter","6 Lieder, Op.1",4 Schmetterling,N,Peter Cornelius,2/4,-1,https://musescore.com/score/5054953
"Cornelius, Peter","6 Lieder, Op.1",5 Nachts,N,Peter Cornelius,2/4,1,https://musescore.com/score/5054957
"Cornelius, Peter","6 Lieder, Op.1",6 Denkst du an mich,N,Peter Cornelius,3/4,3,https://musescore.com/score/5124429
"Cornelius, Peter","6 Lieder, Op.5",1 Botschaft,N,Peter Cornelius,6/8,2,https://musescore.com/score/5051346
