jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
ireal-pro_1088.jams,Red Top,Hampton Lionel,Stardust Jazz,6,183.0,30/08/2012,,DELJ81104934,56175491.0,https://www.deezer.com/track/56175491,https://music.youtube.com/watch?v=qB4IYa-vFec,,
ireal-pro_573.jams,I Can't Believe That You're In Love With Me,McHugh Jimmy,Love Songs,15,169.24,,e8db1dd0-d0ef-453d-ac9c-72fd8c99ca07,,,,https://music.youtube.com/watch?v=suUKVnH_kOI,,
ireal-pro_1983.jams,Summer In The City,The Lovin' Spoonful (Sebastian-Boone-Sebastian),Greatest Hits,,163.0,,,,,,https://music.youtube.com/watch?v=U7ofnHmxE-I,,
ireal-pro_1305.jams,Tones For Joan's Bones,Corea Chick,Tones For Joan's Bones,3,369.0,20/04/1968,f8f51bf1-3597-4b2a-8e32-7c75d6b06864,USAT20110482,678029.0,https://www.deezer.com/track/678029,https://music.youtube.com/watch?v=QAnEZT2q8rE,,
ireal-pro_1952.jams,Scatterbrain,Beck Jeff,Jeff Beck With The Jan Hammer Group Live,6,447.0,03/09/1991,ee391e8b-9909-4625-bb9d-8b00670aa6bb,USSM19917607,15740514.0,https://www.deezer.com/track/15740514,https://music.youtube.com/watch?v=ciEXu13EHiU,,
ireal-pro_899.jams,"Mirror, Mirror",Corea Chick,Mirror Mirror,5,293.0,10/09/2021,3278204e-1c62-4d99-b303-051d9f862eab,QZR8K2121004,1665780492.0,https://www.deezer.com/track/1665780492,https://music.youtube.com/watch?v=1mTL2nxXqtU,,
ireal-pro_253.jams,Brilliant Corners,Monk Thelonious,Brilliant Corners,1,464.0,07/02/2015,33a93b7a-8494-40ac-bed5-8460f2deb8d7,BEDO61510832,106269530.0,https://www.deezer.com/track/106269530,https://music.youtube.com/watch?v=_f2YCVCmWao,,
ireal-pro_801.jams,Let's Face The Music And Dance,Berlin Irving,Lassiter (Original Motion Picture Soundtrack),7,116.0,01/01/1984,,GBDGA2206688,1988743587.0,https://www.deezer.com/track/1988743587,https://music.youtube.com/watch?v=4I-sdVDIHAs,,
ireal-pro_640.jams,I'm An Old Cowhand,Mercer Johnny,"Teagarden, Jack: It's Time for T (1929-1953)",9,188.0,16/05/2006,2dd7a383-f4d1-47a1-aa2e-8c80c472ecbb,HKI190559409,16764504.0,https://www.deezer.com/track/16764504,https://music.youtube.com/watch?v=CY3ULf0A0NE,,
ireal-pro_664.jams,If I Could Be With You,Johnson James,20 Hits of James P. Johnson,14,167.0,14/10/2022,e2d9ddbd-1f50-4b0d-8ce7-1fde4de53b13,GBGN39256114,1954938827.0,https://www.deezer.com/track/1954938827,https://music.youtube.com/watch?v=2O_K_-Q3dsU,,
ireal-pro_1225.jams,Summer In Central Park,Silver Horace,In Pursuit Of The 27th Man,4,281.0,17/01/2002,b09c9ef1-0e12-46b0-8f7e-3eb664034906,USBN20100719,3490167.0,https://www.deezer.com/track/3490167,https://music.youtube.com/watch?v=9659Ve5ZzHY,,
ireal-pro_548.jams,Hey There,Alder-Ross,Waitin' For The Sun,6,194.0,,136e2e95-84fe-4b26-ad4b-346411aa584d,,,,https://music.youtube.com/watch?v=kJvCe0tSKF0,,
ireal-pro_1029.jams,P.S. I Love You,Jenkins Gordon,All The Hits! (Remastered),13,202.0,01/12/2010,,DEXO12052843,1020482462.0,https://www.deezer.com/track/1020482462,https://music.youtube.com/watch?v=MB5G-dPyKt4,,
ireal-pro_1440.jams,You're My Thrill,Gorney Jay,Both Sides Now,1,233.093,,24ef5f9c-1786-4f46-97be-53c385f590e7,,,,https://music.youtube.com/watch?v=jtjCTnKhNT4,,
ireal-pro_1355.jams,Walkin' Shoes,Mulligan Gerry,Best Of Gerry Mulligan & Chet Baker,5,192.0,18/03/1991,9afd662d-a1dd-4403-b387-d36f8243da9c,USBN29000273,3123573.0,https://www.deezer.com/track/3123573,https://music.youtube.com/watch?v=FoLriJ9wYiA,,
ireal-pro_1636.jams,She's Got You,Patsy Cline (Hank Cochran),Golden Age of Country: Heartbreak U.S.A.,4,180.706,,1176d2aa-397c-4189-9bdd-35b0eca8fc05,,,,https://music.youtube.com/watch?v=8_EuLxNaMjE,,
ireal-pro_702.jams,Iris,Shorter Wayne,Early Albums & Rare Grooves,12,312.0,12/07/2019,688c8b8c-c613-4ec8-8a2f-418c1ef4ebf1,USY251953574,1017680472.0,https://www.deezer.com/track/1017680472,https://music.youtube.com/watch?v=rJWkCXaZm-8,,
ireal-pro_848.jams,Love Vibrations,Silver Horace,The United States Of Minds,4,242.0,05/10/2004,6b70e948-0152-4228-b48d-153378c93a49,USBN20400368,3490052.0,https://www.deezer.com/track/3490052,https://music.youtube.com/watch?v=ojlaM7jvkWI,,
ireal-pro_87.jams,"African Queen, The",Silver Horace,Sharp Shades And Finger Snaps (Remastered Version),9,576.0,13/10/2006,274d0554-021b-4a66-af72-afa32db1b610,USBN20300192,3361648.0,https://www.deezer.com/track/3361648,https://music.youtube.com/watch?v=m4Z9NxK94H4,,
ireal-pro_649.jams,I'm Old Fashioned,Kern Jerome,KERN: Showboat and Other Classics,4,218.0,26/01/2015,ad2d588d-bc01-43bc-8681-d9d2a5e91c69,CACA30880966,41831771.0,https://www.deezer.com/track/41831771,https://music.youtube.com/watch?v=CQK-ArBMeNk,,
ireal-pro_878.jams,Mc Jolt,Beirach Richie,Jazz Adagio,1,377.906,,318cf1ac-a8f5-4f4b-a864-23c137b0856e,,,,https://music.youtube.com/watch?v=TXMuY1HPmBE,,
ireal-pro_2003.jams,Come On In My Kitchen,Johnson Robert,Blues Moods Vol. 1,13,171.0,23/05/2012,4208e610-6041-4671-bc6a-2b96d24e843b,DELJ81214432,30770581.0,https://www.deezer.com/track/30770581,https://music.youtube.com/watch?v=HVHT1Ylw9dI,,
ireal-pro_1644.jams,Walkin' After Midnight,Patsy Cline (Block-Hecht),She's Got You,,118.0,,,,,,https://music.youtube.com/watch?v=NAJF0MDPQMQ,,
ireal-pro_632.jams,I'll Never Smile Again,Lowe Ruth,"The Early Years, Vol. 1 (1940-1942)",4,197.0,23/07/2012,aa9b18cb-a3df-4946-a92f-a0c5ad1f4805,HKI190100704,16760767.0,https://www.deezer.com/track/16760767,https://music.youtube.com/watch?v=rEn--T2hBXg,,
ireal-pro_1227.jams,Summer Night,Warren Harry,Harry’s House,A2,177.954,,fadbe78b-7421-46da-802a-f72d139ea15f,,,,https://music.youtube.com/watch?v=yIXbxtAOxDw,,
ireal-pro_1812.jams,I Saw Her Standing There,"The Beatles (Lennon, McCartney)",The Last Lost Album,30,157.0,,d1676136-a32d-43a9-a53e-c81ad3c21632,,,,https://music.youtube.com/watch?v=oxwAB3SECtc,,
ireal-pro_482.jams,Four On Six,Montgomery Wes,Greatest Jazz Albums,21,377.0,28/01/2014,,USFI86000098,960391212.0,https://www.deezer.com/track/960391212,https://music.youtube.com/watch?v=9PD2Q7TXmvU,,
ireal-pro_1632.jams,Move It On Over,Williams Hank,Hank 100: Greatest Radio Hits,1,147.0,15/09/2023,,QMRSZ2300497,2410841215.0,https://www.deezer.com/track/2410841215,https://music.youtube.com/watch?v=F4TuuaLMst8,,
ireal-pro_713.jams,It Ain't Necessarily So,Gershwin George,Rhapsody In Blue - Best Of,9,187.0,29/03/2011,,USA371247416,10405746.0,https://www.deezer.com/track/10405746,https://music.youtube.com/watch?v=s5xhTNpb2bc,,
ireal-pro_716.jams,It Had To Be You,Jones Isham,Plays His Own Compositions,2,183.0,30/01/2014,,US4FU1232002,61293295.0,https://www.deezer.com/track/61293295,https://music.youtube.com/watch?v=l5JK042EAbs,,
ireal-pro_2035.jams,Rock Me Baby,Joe Josea-B.B. King,V,5,254.0,,82f5bc3c-dfa6-4e4e-98e6-55725f3b94b6,,,,https://music.youtube.com/watch?v=cKaWBiVLbYs,,
ireal-pro_1061.jams,Played Twice,Monk Thelonious,UpGraded Masters (All Tracks Remastered),10,479.0,31/12/2014,39562a5d-5dc3-4193-85a6-ca05c19337e7,ITCF41800680,919320142.0,https://www.deezer.com/track/919320142,https://music.youtube.com/watch?v=SkSbbiQeGpU,,
ireal-pro_1197.jams,Spring Is Here,Rodgers Richard,Smash Song Hits by Rodgers & Hart,6,195.0,15/07/2020,,GBLPF0270003,1024527202.0,https://www.deezer.com/track/1024527202,https://music.youtube.com/watch?v=WBjeMUUoE_Y,,
ireal-pro_1428.jams,You Made Me Love You,Monaco James,Over the Rainbow,4,196.0,25/11/2001,,HKI190127804,16761187.0,https://www.deezer.com/track/16761187,https://music.youtube.com/watch?v=P5Ex3gasVas,,
ireal-pro_1414.jams,Yardbird Suite,Parker Charlie,Charlie Parker - Ornithology,11,176.0,25/03/2016,,UKDNQ1504514,121614894.0,https://www.deezer.com/track/121614894,https://music.youtube.com/watch?v=tLe1EHi0uHs,,
ireal-pro_523.jams,Gregory Is Here,Silver Horace,In Pursuit Of The 27th Man,3,382.0,17/01/2002,63dccdfe-9b66-4754-a471-c169155623e6,USBN20100718,3490166.0,https://www.deezer.com/track/3490166,https://music.youtube.com/watch?v=kH0dcxPBbj0,,
ireal-pro_385.jams,Dolphin Dance,Hancock Herbie,Jazz Piano Classics,3,556.0,15/05/2020,7297cf82-934e-450d-8552-8d79cd012a74,USBN29801065,960371822.0,https://www.deezer.com/track/960371822,https://music.youtube.com/watch?v=RaHCnfI7y74,,
ireal-pro_2022.jams,I Just Want To Make Love To You,Dixon Willie,Memphis Slim and Willie Dixon at the Village Gate,8,247.0,22/06/2021,,DK5C50144932,1415036772.0,https://www.deezer.com/track/1415036772,https://music.youtube.com/watch?v=t6AhAWBMDtc,,
ireal-pro_1475.jams,Caminhos Cruzados,Jobim Antonio-Carlos,Summer Samba! - Antônio Carlos Jobim,29,270.0,31/07/2020,933dc546-5d0d-4528-900b-8e2496e0fd90,USPR39302722,1037139842.0,https://www.deezer.com/track/1037139842,https://music.youtube.com/watch?v=6PJJgUAIyl8,,
ireal-pro_1727.jams,Don't Speak,"No Doubt (Stefani, Stefani)",Tragic Kingdom,,264.0,,,,,,https://music.youtube.com/watch?v=Q7uiJcxIsK4,,
